route,type,name,indexability,status
"/","page","Home","index","routable"
"/about","page","About","index","routable"
"/ai-tools","category","AI","noindex","routable"
"/biology-tools","category","Biology","index","routable"
"/blog","page","Blog","noindex","routable"
"/business-tools","category","Business & Finance","index","routable"
"/calculators","category","Calculators","index","routable"
"/categories","page","Categories","index","routable"
"/chemistry-tools","category","Chemistry","index","routable"
"/contact","page","Contact","index","routable"
"/convert","category","Converters","index","routable"
"/convert/acceleration","tool","Acceleration Converter","index","routable"
"/convert/angle","tool","Angle Converter","index","routable"
"/convert/area","tool","Area Converter","index","routable"
"/convert/bmi","tool","BMI Calculator","index","routable"
"/convert/charge","tool","Electric Charge Converter","index","routable"
"/convert/concentration","tool","Concentration Converter","index","routable"
"/convert/cooking","tool","Cooking Converter","index","routable"
"/convert/crypto","tool","Cryptocurrency Converter","index","routable"
"/convert/currency","tool","Currency Converter","index","routable"
"/convert/current","tool","Electric Current Converter","index","routable"
"/convert/data-speed","tool","Data Transfer Speed Converter","index","routable"
"/convert/data-storage","tool","Data Storage Converter","index","routable"
"/convert/date","tool","Date Converter & Calculator","index","routable"
"/convert/density","tool","Density Converter","index","routable"
"/convert/download-time","tool","Download Time Calculator","index","routable"
"/convert/energy","tool","Energy Converter","index","routable"
"/convert/flow-rate","tool","Flow Rate Converter","index","routable"
"/convert/force","tool","Force Converter","index","routable"
"/convert/fraction","tool","Fraction Converter","index","routable"
"/convert/frequency","tool","Frequency Converter","index","routable"
"/convert/fuel-economy","tool","Fuel Economy Converter","index","routable"
"/convert/health-units","tool","Health Units Converter","index","routable"
"/convert/height","tool","Height Converter","index","routable"
"/convert/illuminance","tool","Illuminance Converter","index","routable"
"/convert/image-size","tool","Image Size & Aspect Ratio","index","routable"
"/convert/land-area","tool","Pakistan Land Area Converter","index","routable"
"/convert/length","tool","Length & Distance Converter","index","routable"
"/convert/mass","tool","Weight & Mass Converter","index","routable"
"/convert/molar-mass","tool","Molar Mass Converter","index","routable"
"/convert/number-system","tool","Number System Converter","index","routable"
"/convert/percentage","tool","Percentage Converter","index","routable"
"/convert/power","tool","Power Converter","index","routable"
"/convert/pressure","tool","Pressure Converter","index","routable"
"/convert/radiation","tool","Radiation Units Converter","index","routable"
"/convert/resistance","tool","Resistance Converter","index","routable"
"/convert/roman","tool","Roman Numeral Converter","index","routable"
"/convert/speed","tool","Speed Converter","index","routable"
"/convert/temperature","tool","Temperature Converter","index","routable"
"/convert/time","tool","Time Unit Converter","index","routable"
"/convert/time-duration","tool","Time Duration Converter","index","routable"
"/convert/time-zone","tool","Time Zone Converter","index","routable"
"/convert/torque","tool","Torque Converter","index","routable"
"/convert/typography","tool","Typography & CSS Unit Converter","index","routable"
"/convert/voltage","tool","Voltage Converter","index","routable"
"/convert/volume","tool","Volume Converter","index","routable"
"/daily-life-tools","category","Daily Life","index","routable"
"/date-time-tools","category","Date & Time","index","routable"
"/developer-tools","category","Developer","index","routable"
"/disclaimer","page","Disclaimer","index","routable"
"/document-tools","category","Student Document Tools","index","routable"
"/engineering-tools","category","Engineering","index","routable"
"/gpa-calculator/air","university-gpa","Air University","noindex","routable"
"/gpa-calculator/bahria","university-gpa","Bahria University","noindex","routable"
"/gpa-calculator/bzu","university-gpa","Bahauddin Zakariya University","noindex","routable"
"/gpa-calculator/comsats","university-gpa","COMSATS University Islamabad","noindex","routable"
"/gpa-calculator/fast","university-gpa","FAST-NUCES","noindex","routable"
"/gpa-calculator/fcc","university-gpa","Forman Christian College","noindex","routable"
"/gpa-calculator/gcu-lahore","university-gpa","Government College University Lahore","noindex","routable"
"/gpa-calculator/giki","university-gpa","Ghulam Ishaq Khan Institute of Engineering Sciences and Technology","noindex","routable"
"/gpa-calculator/iba","university-gpa","IBA Karachi","noindex","routable"
"/gpa-calculator/itu","university-gpa","Information Technology University","noindex","routable"
"/gpa-calculator/iub","university-gpa","Islamia University Bahawalpur","noindex","routable"
"/gpa-calculator/lgu","university-gpa","Lahore Garrison University","noindex","routable"
"/gpa-calculator/lums","university-gpa","LUMS","noindex","routable"
"/gpa-calculator/ned","university-gpa","NED University of Engineering & Technology","noindex","routable"
"/gpa-calculator/numl","university-gpa","National University of Modern Languages","noindex","routable"
"/gpa-calculator/nust","university-gpa","National University of Sciences & Technology","noindex","routable"
"/gpa-calculator/pu","university-gpa","University of the Punjab","noindex","routable"
"/gpa-calculator/riphah","university-gpa","Riphah International University","noindex","routable"
"/gpa-calculator/superior","university-gpa","Superior University","noindex","routable"
"/gpa-calculator/ucp","university-gpa","University of Central Punjab","noindex","routable"
"/gpa-calculator/ue","university-gpa","University of Education","noindex","routable"
"/gpa-calculator/uet-lahore","university-gpa","University of Engineering and Technology Lahore","noindex","routable"
"/gpa-calculator/umt","university-gpa","University of Management and Technology","noindex","routable"
"/gpa-calculator/uob","university-gpa","University of Balochistan","noindex","routable"
"/gpa-calculator/uog","university-gpa","University of Gujrat","noindex","routable"
"/gpa-calculator/uol","university-gpa","University of Lahore","noindex","routable"
"/gpa-calculator/uop","university-gpa","University of Peshawar","noindex","routable"
"/gpa-calculator/uskt","university-gpa","University of Sialkot","noindex","routable"
"/health-tools","category","Health & Fitness","index","routable"
"/image-tools","category","Images","index","routable"
"/mathematics-tools","category","Mathematics","index","routable"
"/nutrition-tools","category","Nutrition","index","routable"
"/office","page","Office Hub","index","routable"
"/office-tools","category","MZ Office","index","routable"
"/pdf-tools","category","PDF & Documents","index","routable"
"/physics-tools","category","Physics","index","routable"
"/privacy-policy","page","Privacy Policy","index","routable"
"/productivity-tools","category","Productivity","index","routable"
"/programming-tools","category","Programming","index","routable"
