"toolName","id","category","route","currentStatus","inputType","outputType","processing","implementation","knownProblems","requiredFix","functionTest","uiTest","outputTest","downloadTest","mobileTest","errorHandlingTest","lastTestTime"
"AI Writing Assistant","ai-writing-assistant","ai-tools","/tools/ai-writing-assistant","PARTIALLY WORKING","User input","Result","api","./ai/AiWritingAssistant","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ Online Word","mz-online-word","office-tools","/tools/online-word","PARTIALLY WORKING","User input","Result","browser","./document/MzOnlineWord","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ Programming Lab","programming-lab","programming-tools","/tools/programming-lab","PARTIALLY WORKING","User input","Result","hybrid","./programming/ProgrammingLab","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ PDF Viewer","mz-pdf-viewer","office-tools","/tools/pdf-viewer","PARTIALLY WORKING","User input","Result","browser","./office/PdfViewer","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ PDF Editor","mz-pdf-editor","office-tools","/tools/pdf-editor","PARTIALLY WORKING","User input","Result","browser","./office/PdfEditor","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ Online Excel","mz-online-excel","office-tools","/tools/online-excel","PARTIALLY WORKING","User input","Result","browser","./office/OnlineExcel","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ PowerPoint Viewer","mz-powerpoint-viewer","office-tools","/tools/powerpoint-viewer","PARTIALLY WORKING","User input","Result","browser","./office/PptxViewer","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ Online PowerPoint","mz-online-powerpoint","office-tools","/tools/online-powerpoint","PARTIALLY WORKING","User input","Result","browser","./office/OnlinePowerPoint","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, download, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"MZ Dictionary","mz-dictionary","student-tools","/tools/dictionary","PARTIALLY WORKING","Form/text input","Calculated/text result","api","./reference/MzDictionary","No complete browser E2E/mobile verification exists yet; wired/rendering status is not treated as proof of full functionality.","Add/execute real tests for: function, UI, output, mobile, error handling.","NOT TESTED","NOT TESTED","NOT TESTED","N/A","NOT TESTED","NOT TESTED","Not yet behavior-tested"
"Smart Document Scanner","smart-document-scanner","scanner-tools","/tools/smart-document-scanner","PARTIALLY WORKING","Camera / JPG / PNG / WebP","PDF / searchable PDF / JPG / PNG / TXT","browser","./scanner/SmartDocumentScanner","A concrete runtime/behavior defect was repaired during the 2026-09-20 audit; browser E2E remains pending. Real-device camera behavior, lighting/background robustness, OCR export and mobile gestures still need device E2E tests.","Add/execute real tests for: UI, output, download, mobile.","PASS","NOT TESTED","NOT TESTED","NOT TESTED","NOT TESTED","PASS","2026-09-20 01:19 PKT"
